year,population_size,estimate_type,rivest_adjustment,top_level_source,top_level_source_link,mid_level_source,mid_level_source_link,original_source
1920,568000,ground observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Murie 1935
1950,20000,interpolation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Skoog 1956:62
1953,46000,ground and aerial observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Skoog 1956:63
1956,45000,ground and aerial observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Olson 1957:95
1958,40000,ground and aerial observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Olson 1959
1960,50000,ground and aerial observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Jones 1962:99
1962,50000,ground and aerial observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Jones 1963:66
1963,50000,ground and aerial observation,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,Skoog 1964:14
1969,20000,aerial photography,N,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,N/A,N/A,LeResche 1975
1970,15000,aerial photography,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Jennings 1971
1971,11000,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Jennings 1973
1972,7500,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Jennings 1973
1973,6000,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Davis et al. 1978
1974,6000,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Davis et al. 1978
1975,6000,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Davis et al. 1978
1976,6667,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1977,7333,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1978,8000,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1979,8666,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1980,9333,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1981,10093,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1982,11200,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1983,12350,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1984,13402,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1985,14400,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1986,15303,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1987,17600,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1988,19975,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1989,21400,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,Valkenburg and Davis 1989
1990,22766,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Valkenburg et al. 1994,https://www.eludamos.org/index.php/rangifer/article/view/1128/1071,ADFG unpublished data
1991,22325,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,N/A,N/A,N/A
1992,21884,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1993,21994,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1994,22104,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1995,22558,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1996,23458,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1997,25910,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1998,31029,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
1999,33110,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2000,34640,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2001,37552,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2002,40463,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2003,43375,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2004,43000,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2005,43000,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2006,43000,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A
2007,38364,photocensus,N,Gross 2009b,https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/mgt_rpts/09_caribou.pdf,N/A,N/A,N/A
2007,43837,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,N/A,N/A,N/A
2008,44673,interpolation,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,,N/A,N/A
2009,46510,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,,N/A,N/A
2009,56417,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2009,56342,photocensus,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2010,51675,photocensus,N,Boertje et al. 2012,https://www.researchgate.net/profile/Rodney-Boertje/publication/278028616_Fortymile_Caribou_Herd_Increasing_numbers_declining_nutrition_and_expanding_range/links/557a074508aeacff2003cf3a/Fortymile-Caribou-Herd-Increasing-numbers-declining-nutrition-and-expanding-range.pdf,,N/A,N/A
2010,62788,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2011,64397,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2012,68588,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2013,71869,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2014,81749,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2015,75751,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2016,74652,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2017,73009,photocensus,N,"Alaska Department of Fish and Game, 2019",https://www.doi.gov/sites/doi.gov/files/fortymile-mgmt-plan-2019-2023-final.pdf,N/A,N/A,N/A
2017,83166,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2017,83659,photocensus,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2018,78750,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2019,67677,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2020,57843,model,Y,"Herriges, unpublished",N/A,N/A,N/A,N/A
2022,38000,photocensus,Y,Personal communication,N/A,N/A,N/A,N/A
